Industry,Funding Stage,Product Stage,Backend Tech Stack,Frontend Tech,Compute Platform,AMD Platform Used,Primary Model Used,Founded Year,Total Funding ($),Team Size,Monthly Recurring Revenue ($),Valuation ($),Customer Base,"Fireworks AI Credits Used ($, cumulative)",Social Media Followers,Success Score
FinTech AI,Seed,Private Beta,"Node.js, Express",Flutter (Dart),Own AMD GPU cluster,ROCm on MI250 cluster,Mixtral 8x7B,2023,9611.0,10,292.2,47900.0,2,0.0,1875,10.0
Climate & Energy AI,Angel,MVP,"Java, Spring Boot + Kafka",Svelte,Fireworks AI API,—,MiniMax-M2.7,2025,1201.0,2,160.7,6800.0,150,26.89,654,9.3
Logistics & Supply Chain AI,Bootstrapped,Private Beta,"Node.js, NestJS",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2024,15.0,2,0.7,1900.0,158,26.11,494,7.6
Gaming AI,Pre-Seed,MVP,"Java, Spring Boot",Vue,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2024,1107.0,4,237.2,10300.0,25,0.0,1752,9.6
Logistics & Supply Chain AI,Pre-Seed,Private Beta,"Node.js, Express",React Native,Own AMD GPU cluster,ROCm on MI300X cluster,Mixtral 8x7B,2025,1194.0,5,71.1,13800.0,72,0.0,670,10.0
Enterprise SaaS,Seed,MVP,"Java, Spring Boot + Kafka",Svelte,Fireworks AI API,—,MiniMax-M2.7,2025,11352.0,11,57.0,90500.0,161,9.3,1742,10.0
EdTech AI,Seed,Private Beta,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2025,11164.0,11,895.6,67800.0,38,342.91,1165,10.0
Logistics & Supply Chain AI,Angel,MVP,"Node.js, GraphQL",Flutter (Dart),Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2023,440.0,2,36.9,5400.0,65,0.0,4304,7.7
Logistics & Supply Chain AI,Bootstrapped,Private Beta,"Java, Spring Boot + Kafka",React,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 70B,2026,122.0,3,10.8,1700.0,8,0.0,634,4.7
Climate & Energy AI,Bootstrapped,Private Beta,"Node.js, NestJS",Next.js,Fireworks AI API,—,MiniMax-M2.7,2025,83.0,2,15.3,1200.0,105,22.77,5997,7.9
Cybersecurity AI,Pre-Seed,Idea / Concept,"TypeScript, Fastify",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2024,1422.0,2,12.8,6000.0,60,3.53,1392,6.1
Developer Tools,Pre-Seed,Prototype,"TypeScript, Fastify",Vue,Own AMD GPU cluster,AMD Instinct MI325X,SDXL Turbo,2026,200.0,3,26.1,5000.0,121,0.0,2351,8.6
Creative & Media AI,Seed,MVP,"TypeScript, Fastify",Svelte,Fireworks AI API,—,Kimi K2.6,2023,2063.0,3,40.4,16300.0,13,110.88,2627,10.0
Legal & Compliance AI,Bootstrapped,MVP,"Java, Spring Boot + Kafka",React,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2024,138.0,1,4.5,1700.0,70,0.0,677,4.6
